"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"119","1552848_a_at",-0.556804678852206,0.0712156284609984,-3.66448323884356,0.000592626590002698,0.0026494556299086,-1.20850203063275,"PTCHD1","patched domain containing 1"
"688","1557189_at",0.204937315418933,0.0335239956821766,3.66451689895377,0.000592565083955732,0.0026494556299086,-1.20840319738813,"DNASE1","deoxyribonuclease 1"
"8956","220043_s_at",0.414314349867903,0.082774469110567,3.66447339475711,0.000592644578944348,0.0026494556299086,-1.20853093486552,"MELTF","melanotransferrin"
"8338","218688_at",0.326360742767311,0.0120646313977126,3.66439506730888,0.0005927877320401,0.00264987893461634,-1.20876091852553,"TKFC","triokinase and FMN cyclase"
"7534","216173_at",0.400278899784979,-0.0402943732068345,3.6643126473859,0.000592938400415452,0.00265033576215785,-1.20900291536467,NA,NA
"12758","230444_at",-0.39153903437352,0.00887888280331582,-3.66421831600325,0.000593110888660133,0.00265089003821571,-1.20927988210902,"PDE7A","phosphodiesterase 7A"
"8421","218843_at",0.347205569165391,0.0511354979146762,3.66383745400295,0.000593807797280913,0.00265378791207568,-1.21039809055358,"FNDC4","fibronectin type III domain containing 4"
"15842","65472_at",-0.435777486460464,-0.0902395791446245,-3.66363517842875,0.000594178243978739,0.00265522643968431,-1.21099194301109,"C2orf68","chromosome 2 open reading frame 68"
"13304","232803_at",-0.347086240808621,0.0338823520665732,-3.66352458055202,0.000594380886128915,0.00265569787930853,-1.21131663469701,NA,NA
"15550","244364_at",0.344553481253982,0.093308696238237,3.66353411465766,0.000594363414725705,0.00265569787930853,-1.21128864482776,"MYO3A","myosin IIIA"
"5250","209776_s_at",-0.450599403409931,-0.095802388673883,-3.66342695897027,0.000594559807579142,0.00265628023201418,-1.21160322604367,"SLC19A1","solute carrier family 19 member 1"
"9313","221447_s_at",-0.712107520771659,-0.311358977175751,-3.66290448115271,0.000595518285803366,0.00266034498539905,-1.21313700864016,"GLT8D2","glycosyltransferase 8 domain containing 2"
"8191","218376_s_at",-0.485678181205068,-0.0362871428796526,-3.66247364148592,0.000596309768753373,0.00266344551969534,-1.21440168354872,"MICAL1","microtubule associated monooxygenase, calponin and LIM domain containing 1"
"15293","242909_at",0.753527492667662,0.263283715537401,3.66247831417067,0.000596301179296885,0.00266344551969534,-1.21438796794058,NA,NA
"12418","229459_at",0.755498207869966,0.130045428695332,3.66219230498336,0.00059682714768906,0.00266553866197512,-1.21522746447901,"TAFA5","TAFA chemokine like family member 5"
"809","1558748_at",0.457442371952479,0.0735396193379927,3.66161921682244,0.000597882389838122,0.00267003346111242,-1.21690948331383,NA,NA
"4821","209016_s_at",0.522015590615298,0.0179736828712594,3.66138474005702,0.000598314653148586,0.00267174564365395,-1.21759763073753,"KRT7","keratin 7"
"13143","232063_x_at",0.517460914992223,0.0744227985471717,3.66134703535456,0.000598384190575894,0.00267183794362899,-1.21770828492141,"FARSB","phenylalanyl-tRNA synthetase subunit beta"
"13983","236022_at",0.74104538476116,0.247665483744677,3.66112571775588,0.000598792514816841,0.00267322452417823,-1.21835778524214,"MYO19","myosin XIX"
"15639","244874_at",0.295131428698786,-0.0270930172358213,3.66113933762102,0.00059876737887261,0.00267322452417823,-1.21831781570767,"CHST15","carbohydrate sulfotransferase 15"
"15399","243555_at",-0.578853027356077,0.0463401756958575,-3.66097765346624,0.000599065837961466,0.002674226379045,-1.2187922965202,NA,NA
"3736","205722_s_at",-0.277341943575992,0.0483396844379325,-3.66085613081812,0.000599290255180891,0.00267500977239083,-1.21914891076345,"GFRA2","GDNF family receptor alpha 2"
"13609","234937_x_at",-0.63821747358297,-0.222330492924498,-3.66066526032149,0.000599642900461297,0.00267623521098098,-1.21970901586177,"ZFP28","ZFP28 zinc finger protein"
"15356","243278_at",-0.823673056896888,-0.300212564842135,-3.66065455241104,0.000599662689889857,0.00267623521098098,-1.21974043747826,"FOXP2","forkhead box P2"
"14927","240833_at",0.190187080496211,0.0344766909292099,3.6606078890444,0.000599748936369904,0.00267640165654787,-1.21987736725166,NA,NA
"5744","211088_s_at",0.395920410211078,0.0225597282565066,3.66051823100205,0.00059991468195683,0.00267692281367744,-1.22014045849069,"PLK4","polo like kinase 4"
